source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
breast cancer cell line BR157	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR157	not available	BR157	1	run 70	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR157.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR158	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR158	not available	BR158	1	run 71	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR158.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR158	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR158	not available	BR158	1	run 72	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR158.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR159	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR159	not available	BR159	1	run 73	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR159.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR162	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR162	not available	BR162	1	run 74	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR162.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR164	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR164	not available	BR164	1	run 75	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR164.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR165	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR165	not available	BR165	1	run 76	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR165.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR168	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR168	not available	BR168	1	run 77	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR168.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR173	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR173	not available	BR173	1	run 78	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR173.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR176	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR176	not available	BR176	1	run 79	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR176.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR184	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR184	not available	BR184	1	run 80	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR184.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR188	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR188	not available	BR188	1	run 81	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR188.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR188	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR188	not available	BR188	1	run 82	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR188.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR191	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR191	not available	BR191	1	run 83	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR191.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR191	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR191	not available	BR191	1	run 84	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR191.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR194	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR194	not available	BR194	1	run 85	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR194.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR195	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR195	not available	BR195	1	run 86	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR195.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR199	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR199	not available	BR199	1	run 87	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR199.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR199	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR199	not available	BR199	1	run 88	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR199.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR201	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR201	not available	BR201	1	run 89	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR201.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR205	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR205	not available	BR205	1	run 90	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR205.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR209	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR209	not available	BR209	1	run 91	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR209.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR211	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR211	not available	BR211	1	run 92	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR211.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR212	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR212	not available	BR212	1	run 93	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR212.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR216	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR216	not available	BR216	1	run 94	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR216.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR217	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR217	not available	BR217	1	run 95	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR217.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR225	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR225	not available	BR225	1	run 96	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR225.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR226	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR226	not available	BR226	1	run 97	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR226.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR227	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR227	not available	BR227	1	run 98	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR227.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR227	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR227	not available	BR227	1	run 99	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR227.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR139	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR139	not available	BR139	1	run 100	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160302_sw_BR139.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
