source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
breast cancer cell line BR159	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR159	not available	BR159	1	run 21	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR159.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR162	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR162	not available	BR162	1	run 22	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR162.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR162	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR162	not available	BR162	1	run 23	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR162.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR167	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR167	not available	BR167	1	run 24	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR167.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR17	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR17	not available	BR17	1	run 25	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR17.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR170	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR170	not available	BR170	1	run 26	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR170.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR174	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR174	not available	BR174	1	run 27	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR174.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR18	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR18	not available	BR18	1	run 28	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR18.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR180	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR180	not available	BR180	1	run 29	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR180.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR181	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR181	not available	BR181	1	run 30	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR181.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
