source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
cancer cell line batch 190123	Homo sapiens	not available	neoplasm	not available	cell line	22	run 22	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190123.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190124	Homo sapiens	not available	neoplasm	not available	cell line	23	run 23	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190124.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190127	Homo sapiens	not available	neoplasm	not available	cell line	24	run 24	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190127.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190131	Homo sapiens	not available	neoplasm	not available	cell line	25	run 25	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190131.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190202	Homo sapiens	not available	neoplasm	not available	cell line	26	run 26	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190202.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190204	Homo sapiens	not available	neoplasm	not available	cell line	27	run 27	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190204.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190331	Homo sapiens	not available	neoplasm	not available	cell line	28	run 28	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190331.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190503	Homo sapiens	not available	neoplasm	not available	cell line	29	run 29	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190503.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190510	Homo sapiens	not available	neoplasm	not available	cell line	30	run 30	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190510.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190512	Homo sapiens	not available	neoplasm	not available	cell line	31	run 31	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190512.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
